"type","id","n","n_predictors","n_controls","filename"
"none","0000001",5426,3,2,"data/png/none_0000001.png"
"none","0000002",588,3,4,"data/png/none_0000002.png"
"none","0000003",7519,4,3,"data/png/none_0000003.png"
"none","0000004",3831,4,3,"data/png/none_0000004.png"
"none","0000005",6888,4,3,"data/png/none_0000005.png"
"none","0000006",8688,2,3,"data/png/none_0000006.png"
"none","0000007",2801,3,2,"data/png/none_0000007.png"
"none","0000008",5014,4,4,"data/png/none_0000008.png"
"none","0000009",8886,3,4,"data/png/none_0000009.png"
"none","0000010",7837,2,3,"data/png/none_0000010.png"
"none","0000011",1525,2,3,"data/png/none_0000011.png"
"none","0000012",2538,3,2,"data/png/none_0000012.png"
"none","0000013",8088,2,4,"data/png/none_0000013.png"
"none","0000014",4178,2,4,"data/png/none_0000014.png"
"none","0000015",8594,2,4,"data/png/none_0000015.png"
"none","0000016",371,4,2,"data/png/none_0000016.png"
"none","0000017",3132,2,3,"data/png/none_0000017.png"
"none","0000018",3941,2,4,"data/png/none_0000018.png"
"none","0000019",3079,3,2,"data/png/none_0000019.png"
"none","0000020",2281,3,2,"data/png/none_0000020.png"
"none","0000021",2309,4,2,"data/png/none_0000021.png"
"none","0000022",9466,3,4,"data/png/none_0000022.png"
"none","0000023",7036,3,3,"data/png/none_0000023.png"
"none","0000024",1743,3,2,"data/png/none_0000024.png"
"none","0000025",9688,2,2,"data/png/none_0000025.png"
"none","0000026",2551,4,2,"data/png/none_0000026.png"
"none","0000027",9653,4,4,"data/png/none_0000027.png"
"none","0000028",2938,2,2,"data/png/none_0000028.png"
"none","0000029",5884,4,2,"data/png/none_0000029.png"
"none","0000030",4588,3,3,"data/png/none_0000030.png"
"none","0000031",8138,3,4,"data/png/none_0000031.png"
"none","0000032",5395,2,4,"data/png/none_0000032.png"
"none","0000033",4744,3,4,"data/png/none_0000033.png"
"none","0000034",6115,4,4,"data/png/none_0000034.png"
"none","0000035",5790,4,2,"data/png/none_0000035.png"
"none","0000036",9233,4,2,"data/png/none_0000036.png"
"none","0000037",5196,2,4,"data/png/none_0000037.png"
"none","0000038",5767,4,4,"data/png/none_0000038.png"
"none","0000039",5392,4,4,"data/png/none_0000039.png"
"none","0000040",7092,2,3,"data/png/none_0000040.png"
"none","0000041",1339,2,4,"data/png/none_0000041.png"
"none","0000042",8764,4,4,"data/png/none_0000042.png"
"none","0000043",8079,4,3,"data/png/none_0000043.png"
"none","0000044",6831,2,4,"data/png/none_0000044.png"
"none","0000045",2435,2,4,"data/png/none_0000045.png"
"none","0000046",2425,3,2,"data/png/none_0000046.png"
"none","0000047",417,4,2,"data/png/none_0000047.png"
"none","0000048",7450,3,4,"data/png/none_0000048.png"
"none","0000049",2083,2,4,"data/png/none_0000049.png"
"none","0000050",1644,4,4,"data/png/none_0000050.png"
"none","0000051",8947,3,3,"data/png/none_0000051.png"
"none","0000052",9593,4,3,"data/png/none_0000052.png"
"none","0000053",1339,3,2,"data/png/none_0000053.png"
"none","0000054",2471,2,2,"data/png/none_0000054.png"
"none","0000055",9360,2,4,"data/png/none_0000055.png"
"none","0000056",8947,4,3,"data/png/none_0000056.png"
"none","0000057",6478,3,3,"data/png/none_0000057.png"
"none","0000058",3199,3,3,"data/png/none_0000058.png"
"none","0000059",7699,3,2,"data/png/none_0000059.png"
"none","0000060",6528,2,4,"data/png/none_0000060.png"
"none","0000061",230,2,2,"data/png/none_0000061.png"
"none","0000062",8369,2,3,"data/png/none_0000062.png"
"none","0000063",9423,3,4,"data/png/none_0000063.png"
"none","0000064",4298,2,2,"data/png/none_0000064.png"
"none","0000065",4993,2,2,"data/png/none_0000065.png"
"none","0000066",3601,2,4,"data/png/none_0000066.png"
"none","0000067",418,4,2,"data/png/none_0000067.png"
"none","0000068",2136,3,4,"data/png/none_0000068.png"
"none","0000069",2109,4,4,"data/png/none_0000069.png"
"none","0000070",3941,3,2,"data/png/none_0000070.png"
"none","0000071",2757,2,3,"data/png/none_0000071.png"
"none","0000072",5797,3,2,"data/png/none_0000072.png"
"none","0000073",4503,2,4,"data/png/none_0000073.png"
"none","0000074",6765,2,4,"data/png/none_0000074.png"
"none","0000075",8460,2,4,"data/png/none_0000075.png"
"none","0000076",6821,4,3,"data/png/none_0000076.png"
"none","0000077",7343,4,3,"data/png/none_0000077.png"
"none","0000078",1630,3,3,"data/png/none_0000078.png"
"none","0000079",8054,4,2,"data/png/none_0000079.png"
"none","0000080",6349,4,2,"data/png/none_0000080.png"
"none","0000081",9933,4,3,"data/png/none_0000081.png"
"none","0000082",8216,2,2,"data/png/none_0000082.png"
"none","0000083",9864,4,4,"data/png/none_0000083.png"
"none","0000084",8850,4,3,"data/png/none_0000084.png"
"none","0000085",8626,2,4,"data/png/none_0000085.png"
"none","0000086",460,2,2,"data/png/none_0000086.png"
"none","0000087",5062,3,3,"data/png/none_0000087.png"
"none","0000088",1985,2,3,"data/png/none_0000088.png"
"none","0000089",3809,4,2,"data/png/none_0000089.png"
"none","0000090",8055,4,4,"data/png/none_0000090.png"
"none","0000091",7502,3,4,"data/png/none_0000091.png"
"none","0000092",3405,4,2,"data/png/none_0000092.png"
"none","0000093",7275,4,2,"data/png/none_0000093.png"
"none","0000094",8168,4,2,"data/png/none_0000094.png"
"none","0000095",8813,3,3,"data/png/none_0000095.png"
"none","0000096",4813,2,3,"data/png/none_0000096.png"
"none","0000097",8336,3,2,"data/png/none_0000097.png"
"none","0000098",5356,2,2,"data/png/none_0000098.png"
"none","0000099",764,2,2,"data/png/none_0000099.png"
"none","0000100",1391,2,2,"data/png/none_0000100.png"
"none","0000101",3190,3,2,"data/png/none_0000101.png"
"none","0000102",7482,4,2,"data/png/none_0000102.png"
"none","0000103",8645,2,2,"data/png/none_0000103.png"
"none","0000104",9010,4,3,"data/png/none_0000104.png"
"none","0000105",7509,2,2,"data/png/none_0000105.png"
"none","0000106",1514,3,4,"data/png/none_0000106.png"
"none","0000107",5327,3,3,"data/png/none_0000107.png"
"none","0000108",3912,3,2,"data/png/none_0000108.png"
"none","0000109",1725,3,3,"data/png/none_0000109.png"
"none","0000110",2686,4,2,"data/png/none_0000110.png"
"none","0000111",4914,4,4,"data/png/none_0000111.png"
"none","0000112",1943,2,4,"data/png/none_0000112.png"
"none","0000113",974,2,3,"data/png/none_0000113.png"
"none","0000114",5444,2,4,"data/png/none_0000114.png"
"none","0000115",7943,3,2,"data/png/none_0000115.png"
"none","0000116",5756,3,4,"data/png/none_0000116.png"
"none","0000117",4561,3,2,"data/png/none_0000117.png"
"none","0000118",2843,4,3,"data/png/none_0000118.png"
